id,,,,,,,,,,,,,,,,,,,
1990302462090809344,H-K-08_S_02_02,,,,,,,,,,,,,,,,,,
1986319691920052224,C-R-01_S_02_02,,,,,,,,,,,,,,,,,,
1988153996073897984,L-S-01_S_03_01,,,,,,,,,,,,,,,,,,
1988154009004937216,L-H-01_S_04_01,,,,,,,,,,,,,,,,,,
1986970287723384832,H-C-03_S_18_02,,,,,,,,,,,,,,,,,,
1986638762892988416,H-C-01_S_05_01,,,,,,,,,,,,,,,,,,
1990302503425675264,H-C-05_S_03_02_LJ,,,,,,,,,,,,,,,,,,
1988510361023811584,C-R-01_S_06_01,,,,,,,,,,,,,,,,,,
1990302375818170368,H-C-09_S_03_04_LJ,,,,,,,,,,,,,,,,,,
1990302771726913536,H-D-07_S_07_03_LJ,,,,,,,,,,,,,,,,,,
1990302675572494336,H-K-08_S_05_02_LJ,,,,,,,,,,,,,,,,,,
1986319681862111232,H-C-03_S_07_02,,,,,,,,,,,,,,,,,,
1988154140051771392,H-K-08_S_03_01,,,,,,,,,,,,,,,,,,
1988154064529133568,H-C-09_S_07_01,,,,,,,,,,,,,,,,,,
1986319697787883520,C-R-01_S_03_02,,,,,,,,,,,,,,,,,,
1988163589432807424,C-F-01_S_01_01,,,,,,,,,,,,,,,,,,
1988163557145055232,C-R-02_S_01_01,,,,,,,,,,,,,,,,,,
1990302699933011968,H-C-10_S_07_01_LJ,,,,,,,,,,,,,,,,,,
1970405916717223936,C-R-01_10_17,,,,,,,,,,,,,,,,,,
1989567172875259904,I-Q-02_159_01_LJ,,,,,,,,,,,,,,,,,,
1976624403559092224,H-C-02_03_01,,,,,,,,,,,,,,,,,,
1970356127568891904,C-R-08_03_22,,,,,,,,,,,,,,,,,,
1975925519073546240,H-C-03_03_02,,,,,,,,,,,,,,,,,,
1989567232451153920,I-R-03_265_01,,,,,,,,,,,,,,,,,,
1989560865573179392,I-R-03_30_01_LJ,,,,,,,,,,,,,,,,,,
1989560991544905728,I-R-03_201_01_LJ,,,,,,,,,,,,,,,,,,
1989560750791856128,I-R-03_120_01_LJ,,,,,,,,,,,,,,,,,,
1976645436030717952,H-C-06_43_15,,,,,,,,,,,,,,,,,,
1975924403720032256,H-C-06_23_12,,,,,,,,,,,,,,,,,,
1970404245966557184,C-R-08_17_17,,,,,,,,,,,,,,,,,,
1989560974318899200,I-R-03_198_01_LJ,,,,,,,,,,,,,,,,,,
1989561155395391488,I-R-03_329_01_LJ,,,,,,,,,,,,,,,,,,
1975925661004599296,H-C-01_13_03,,,,,,,,,,,,,,,,,,
1989567111609061376,I-Q-02_186_01_LJ,,,,,,,,,,,,,,,,,,
